accession_id,latitude,longitude,taxon,trait_descriptor,trait_sub_descriptor,trait_observation_value,trait_is_nominal
PI 582718,-22.33,24.68,Vigna unguiculata,Population,Q4,0.21,false
PI 582872,-22.33,24.68,Vigna unguiculata,Population,Q1,0.7869,false
PI 582872,-22.33,24.68,Vigna unguiculata,Population,Q2,0.0664,false
PI 582872,-22.33,24.68,Vigna unguiculata,Population,Q3,0.1451,false
PI 582872,-22.33,24.68,Vigna unguiculata,Population,Q4,0.0016,false
PI 300173,-28.25,28.32,Vigna unguiculata,Population,Q1,0.8137,false
PI 300173,-28.25,28.32,Vigna unguiculata,Population,Q2,0.0424,false
PI 300173,-28.25,28.32,Vigna unguiculata,Population,Q3,0.1424,false
PI 300173,-28.25,28.32,Vigna unguiculata,Population,Q4,0.0014,false
PI 292894,-19.02,29.15,Vigna unguiculata,Population,Q1,0.8227,false
PI 292894,-19.02,29.15,Vigna unguiculata,Population,Q2,0.0032,false
PI 292894,-19.02,29.15,Vigna unguiculata,Population,Q3,0.1731,false
PI 292894,-19.02,29.15,Vigna unguiculata,Population,Q4,0.001,false
PI 339607,-30.56,22.94,Vigna unguiculata,Population,Q1,0.8521,false
PI 339607,-30.56,22.94,Vigna unguiculata,Population,Q2,0.0898,false
PI 339607,-30.56,22.94,Vigna unguiculata,Population,Q3,0.0566,false
PI 339607,-30.56,22.94,Vigna unguiculata,Population,Q4,0.0014,false
PI 582678,-22.33,24.68,Vigna unguiculata,Population,Q1,0.8829,false
PI 582678,-22.33,24.68,Vigna unguiculata,Population,Q2,0.001,false
PI 582678,-22.33,24.68,Vigna unguiculata,Population,Q3,0.1159,false
PI 582678,-22.33,24.68,Vigna unguiculata,Population,Q4,0.0002,false
PI 339600,-30.56,22.94,Vigna unguiculata,Population,Q1,0.9344,false
PI 339600,-30.56,22.94,Vigna unguiculata,Population,Q2,0.0086,false
PI 339600,-30.56,22.94,Vigna unguiculata,Population,Q3,0.0556,false
PI 339600,-30.56,22.94,Vigna unguiculata,Population,Q4,0.0014,false
PI 527302,-19.67,32.92,Vigna unguiculata,Population,Q1,0.9822,false
PI 527302,-19.67,32.92,Vigna unguiculata,Population,Q2,0.0016,false
PI 527302,-19.67,32.92,Vigna unguiculata,Population,Q3,0.0152,false
PI 527302,-19.67,32.92,Vigna unguiculata,Population,Q4,0.001,false
PI 468104,5.83,-55.17,Vigna unguiculata,Population,Q1,0.0006,false
PI 468104,5.83,-55.17,Vigna unguiculata,Population,Q2,0.0042,false
PI 468104,5.83,-55.17,Vigna unguiculata,Population,Q3,0.001,false
PI 468104,5.83,-55.17,Vigna unguiculata,Population,Q4,0.9942,false
PI 582429,10.69,-61.22,Vigna unguiculata,Population,Q1,0.0014,false
PI 582429,10.69,-61.22,Vigna unguiculata,Population,Q2,0.5654,false
PI 582429,10.69,-61.22,Vigna unguiculata,Population,Q3,0.0056,false
PI 582429,10.69,-61.22,Vigna unguiculata,Population,Q4,0.4276,false
PI 582428,10.69,-61.22,Vigna unguiculata,Population,Q1,0.0546,false
PI 582428,10.69,-61.22,Vigna unguiculata,Population,Q2,0.1294,false
PI 582428,10.69,-61.22,Vigna unguiculata,Population,Q3,0.2271,false
PI 582428,10.69,-61.22,Vigna unguiculata,Population,Q4,0.5889,false
PI 189416,14.27,-91.35,Vigna unguiculata,Population,Q1,0.2662,false
PI 189416,14.27,-91.35,Vigna unguiculata,Population,Q2,0.1149,false
PI 189416,14.27,-91.35,Vigna unguiculata,Population,Q3,0.3016,false
PI 189416,14.27,-91.35,Vigna unguiculata,Population,Q4,0.3172,false
PI 197057,15.77,-87.42,Vigna unguiculata,Population,Q1,0.3019,false
PI 197057,15.77,-87.42,Vigna unguiculata,Population,Q2,0.1569,false
PI 197057,15.77,-87.42,Vigna unguiculata,Population,Q3,0.3717,false
PI 197057,15.77,-87.42,Vigna unguiculata,Population,Q4,0.1695,false
PI 152194,,,Vigna unguiculata,Population,Q1,0.4766,false
PI 152194,,,Vigna unguiculata,Population,Q2,0.0016,false
PI 152194,,,Vigna unguiculata,Population,Q3,0.3452,false
PI 152194,,,Vigna unguiculata,Population,Q4,0.1766,false
PI 152196,,,Vigna unguiculata,Population,Q1,0.4786,false
PI 152196,,,Vigna unguiculata,Population,Q2,0.0058,false
PI 152196,,,Vigna unguiculata,Population,Q3,0.3387,false
PI 152196,,,Vigna unguiculata,Population,Q4,0.1769,false
PI 121433,-25.75,-56.43,Vigna unguiculata,Population,Q1,0.5128,false
PI 121433,-25.75,-56.43,Vigna unguiculata,Population,Q2,0.0018,false
PI 121433,-25.75,-56.43,Vigna unguiculata,Population,Q3,0.3708,false
PI 121433,-25.75,-56.43,Vigna unguiculata,Population,Q4,0.1146,false
PI 152195,,,Vigna unguiculata,Population,Q1,0.5398,false
PI 152195,,,Vigna unguiculata,Population,Q2,0.0166,false
PI 152195,,,Vigna unguiculata,Population,Q3,0.3842,false
PI 152195,,,Vigna unguiculata,Population,Q4,0.0594,false
PI 152197,,,Vigna unguiculata,Population,Q1,0.5422,false
PI 152197,,,Vigna unguiculata,Population,Q2,0.0048,false
PI 152197,,,Vigna unguiculata,Population,Q3,0.3404,false
PI 152197,,,Vigna unguiculata,Population,Q4,0.1126,false
PI 337506,-30.05,-51.17,Vigna unguiculata,Population,Q1,0.5554,false
PI 337506,-30.05,-51.17,Vigna unguiculata,Population,Q2,0.0368,false
PI 337506,-30.05,-51.17,Vigna unguiculata,Population,Q3,0.3506,false
